"GID","Yield"
"Oat1",1
"Oat2",1
"Oat3",0
"Oat4",0
"Oat5",1
"Oat6",0
"Oat7",1
"Oat8",0
"Oat9",0
"Oat10",1
"Oat11",1
"Oat12",1
"Oat13",1
"Oat14",1
"Oat15",0
"Oat16",1
"Oat17",1
"Oat18",0
"Oat19",0
"Oat20",0
"Oat21",1
"Oat22",1
"Oat23",0
"Oat24",0
"Oat25",1
"Oat26",0
"Oat27",1
"Oat28",0
"Oat29",0
"Oat30",0
"Oat31",1
"Oat32",1
"Oat33",1
"Oat34",0
"Oat35",0
"Oat36",1
"Oat37",1
"Oat38",0
"Oat39",0
"Oat40",0
"Oat41",0
"Oat42",0
"Oat43",0
"Oat44",1
"Oat45",0
"Oat46",0
"Oat47",0
"Oat48",1
"Oat49",0
"Oat50",1
"Oat52",1
"Oat53",1
"Oat54",1
"Oat55",0
"Oat56",0
"Oat57",0
"Oat58",0
"Oat59",0
"Oat60",0
"Oat61",1
"Oat62",0
"Oat63",1
"Oat64",1
"Oat65",0
"Oat66",0
"Oat67",1
"Oat68",0
"Oat69",1
"Oat70",0
"Oat71",1
"Oat72",1
"Oat73",0
"Oat74",1
"Oat75",0
"Oat76",0
"Oat77",0
"Oat78",1
"Oat79",1
"Oat80",1
"Oat81",0
"Oat82",1
"Oat83",1
"Oat84",1
"Oat85",0
"Oat86",0
"Oat87",0
"Oat88",1
"Oat89",0
"Oat90",0
"Oat91",0
"Oat92",1
"Oat93",1
"Oat94",0
"Oat95",1
"Oat96",0
"Oat97",0
"Oat98",1
"Oat99",1
"Oat100",0
"Oat101",0
"Oat102",1
"Oat103",1
"Oat104",0
"Oat105",1
"Oat106",1
"Oat107",0
"Oat108",0
"Oat109",0
"Oat110",1
"Oat111",0
"Oat112",0
"Oat113",0
"Oat114",0
"Oat115",0
"Oat116",0
"Oat117",1
"Oat118",1
"Oat119",1
"Oat120",1
"Oat121",1
"Oat122",1
"Oat123",1
"Oat124",1
"Oat125",0
"Oat126",1
"Oat127",0
"Oat128",0
"Oat129",1
"Oat130",1
"Oat131",0
"Oat132",1
"Oat133",1
"Oat134",0
"Oat135",1
"Oat136",0
"Oat137",0
"Oat138",1
"Oat139",1
"Oat140",0
"Oat141",0
"Oat142",1
"Oat143",1
"Oat144",1
"Oat145",0
"Oat146",0
"Oat147",1
"Oat148",1
"Oat149",1
"Oat150",1
"Oat151",0
"Oat152",1
"Oat153",1
"Oat154",1
"Oat155",1
"Oat156",1
"Oat157",1
"Oat158",0
"Oat159",1
"Oat160",0
"Oat161",1
"Oat162",0
"Oat163",1
"Oat164",1
"Oat165",1
"Oat166",1
"Oat167",1
"Oat168",1
"Oat169",1
"Oat170",1
"Oat171",0
"Oat172",0
"Oat173",0
"Oat174",1
"Oat175",1
"Oat176",1
"Oat177",1
"Oat178",1
"Oat179",1
"Oat180",1
"Oat181",0
"Oat182",1
"Oat183",0
"Oat184",0
"Oat185",1
"Oat186",0
"Oat187",1
"Oat188",1
"Oat189",0
"Oat190",1
"Oat191",0
"Oat192",0
"Oat193",1
"Oat194",1
"Oat195",0
"Oat196",0
"Oat197",0
"Oat198",0
"Oat199",1
"Oat200",0
"Oat201",0
"Oat202",0
"Oat203",1
"Oat204",0
"Oat205",1
"Oat206",0
"Oat207",1
"Oat208",0
"Oat209",0
"Oat210",0
"Oat211",1
"Oat212",0
"Oat213",1
"Oat214",0
"Oat215",0
"Oat216",1
"Oat217",0
"Oat218",1
"Oat219",1
"Oat220",1
"Oat221",0
"Oat222",1
"Oat223",0
"Oat224",1
"Oat225",0
"Oat226",1
"Oat227",1
"Oat228",0
"Oat229",0
"Oat230",1
"Oat231",1
"Oat232",1
"Oat233",1
"Oat234",0
"Oat235",1
"Oat236",0
"Oat237",0
"Oat238",1
"Oat239",0
"Oat240",1
"Oat241",1
"Oat242",1
"Oat243",0
"Oat244",1
"Oat245",1
"Oat246",1
"Oat247",1
"Oat248",1
"Oat249",1
"Oat250",0
"Oat251",0
"Oat252",0
"Oat253",1
"Oat254",1
"Oat255",1
"Oat256",0
"Oat257",0
"Oat258",0
"Oat259",1
"Oat260",1
"Oat261",0
"Oat262",0
"Oat263",0
"Oat264",1
"Oat265",0
"Oat266",0
"Oat267",1
"Oat268",0
"Oat269",0
"Oat270",0
"Oat271",1
"Oat272",0
"Oat273",1
"Oat274",0
"Oat275",0
"Oat276",1
"Oat277",0
"Oat278",0
"Oat279",0
"Oat280",0
"Oat281",1
"Oat282",0
"Oat283",0
"Oat284",0
"Oat285",0
"Oat286",0
"Oat287",0
"Oat288",1
"Oat289",1
"Oat290",0
"Oat291",0
"Oat292",0
"Oat293",0
"Oat294",1
"Oat295",1
"Oat296",0
"Oat297",0
"Oat298",1
"Oat299",0
"Oat300",1
"Oat301",0
"Oat302",1
"Oat303",0
"Oat304",0
"Oat305",1
"Oat306",0
"Oat307",1
"Oat308",0
"Oat309",0
"Oat310",0
"Oat311",0
"Oat312",1
"Oat313",1
"Oat314",1
"Oat315",1
"Oat316",0
"Oat317",1
"Oat318",0
"Oat319",1
"Oat320",0
"Oat321",1
"Oat322",0
"Oat323",0
"Oat324",0
"Oat325",1
"Oat326",1
"Oat327",0
"Oat328",1
"Oat329",1
