"GID","Yield"
"Oat1",6126.514495
"Oat2",5510.549172
"Oat3",6745.475723
"Oat4",7061.257347
"Oat5",6139.971129
"Oat6",6646.036578
"Oat7",6055.52349
"Oat8",7605.636516
"Oat9",6848.706462
"Oat10",6287.101833
"Oat11",6058.087149
"Oat12",5703.334368
"Oat13",6399.231498
"Oat14",5724.671498
"Oat15",6839.670206
"Oat16",5816.681958
"Oat17",5986.486579
"Oat18",7254.563407
"Oat19",6738.970614
"Oat20",6549.975035
"Oat21",6180.784242
"Oat22",6069.031804
"Oat23",6616.298677
"Oat24",6528.317192
"Oat25",6007.874167
"Oat26",6610.139117
"Oat27",5990.260357
"Oat28",6828.595464
"Oat29",6494.035248
"Oat30",6542.2184
"Oat31",6159.581134
"Oat32",6166.686623
"Oat33",5906.838146
"Oat34",7248.691293
"Oat35",7481.037452
"Oat36",6329.28237
"Oat37",6435.699578
"Oat38",6638.823768
"Oat39",6646.784957
"Oat40",7513.79656
"Oat41",6934.729992
"Oat42",6466.932605
"Oat43",6857.415339
"Oat44",5019.680674
"Oat45",6724.433684
"Oat46",7269.190297
"Oat47",6958.84466
"Oat48",5978.383425
"Oat49",6554.70241
"Oat50",5355.5735
"Oat52",6265.465874
"Oat53",6225.666283
"Oat54",5578.015477
"Oat55",6854.602028
"Oat56",7057.09202
"Oat57",7382.438223
"Oat58",7991.798218
"Oat59",7140.706254
"Oat60",6997.280717
"Oat61",5682.38428
"Oat62",7040.94198
"Oat63",6320.648846
"Oat64",6404.094582
"Oat65",7818.236575
"Oat66",7433.520378
"Oat67",5744.48388
"Oat68",6958.296157
"Oat69",5995.36373
"Oat70",7208.385098
"Oat71",5620.164172
"Oat72",6246.262683
"Oat73",6943.619532
"Oat74",6253.238546
"Oat75",7367.054874
"Oat76",6455.437242
"Oat77",6842.466415
"Oat78",5914.005269
"Oat79",5498.178263
"Oat80",6183.429937
"Oat81",6808.541799
"Oat82",6406.154023
"Oat83",5410.491035
"Oat84",6278.623937
"Oat85",6669.317055
"Oat86",7329.300328
"Oat87",6648.857324
"Oat88",6085.887734
"Oat89",6920.462516
"Oat90",6642.121267
"Oat91",6552.748
"Oat92",6223.523504
"Oat93",5589.298086
"Oat94",6699.13909
"Oat95",6424.812719
"Oat96",6641.825209
"Oat97",7953.423265
"Oat98",6105.597236
"Oat99",5625.978436
"Oat100",6489.297421
"Oat101",6622.38685
"Oat102",5634.060071
"Oat103",6141.56641
"Oat104",6616.975848
"Oat105",5798.439171
"Oat106",5991.852364
"Oat107",7265.216736
"Oat108",7332.576384
"Oat109",7020.030793
"Oat110",6149.604143
"Oat111",7415.284125
"Oat112",6536.016033
"Oat113",7256.721699
"Oat114",6717.209679
"Oat115",7461.879387
"Oat116",7227.662556
"Oat117",6270.610338
"Oat118",5598.769468
"Oat119",6232.214073
"Oat120",5691.542352
"Oat121",6040.96201
"Oat122",5410.01806
"Oat123",6275.810962
"Oat124",6378.120969
"Oat125",7747.998274
"Oat126",5952.887722
"Oat127",6937.704071
"Oat128",7138.324273
"Oat129",6411.199412
"Oat130",6335.474784
"Oat131",7019.274052
"Oat132",6431.142577
"Oat133",5237.562956
"Oat134",6940.274764
